total_utilization,avg_reward
0.1988,0.73
0.15746666666666667,0.21
0.18266666666666667,0.28
0.1664,0.45
0.1792,0.68
0.17146666666666666,0.58
0.1532,0.43
0.19613333333333333,0.65
0.17146666666666666,0.67
0.19066666666666668,0.7
0.1752,0.49
0.16186666666666666,0.18
0.14066666666666666,0.55
0.1988,0.73
0.1908,0.54
0.16053333333333333,0.09
0.15,0.7
0.158,0.17
0.17066666666666666,0.48
0.1796,0.35
0.15973333333333334,0.48
0.17333333333333334,0.54
0.18893333333333334,0.51
0.16933333333333334,0.39
0.16853333333333334,0.18
0.18586666666666668,0.73
0.1892,0.03
0.19066666666666668,0.35
0.16133333333333333,0.58
0.20706666666666668,0.58
0.1556,0.28
0.19706666666666667,0.33
0.1632,0.4
0.1676,0.53
0.19106666666666666,0.55
0.21973333333333334,0.83
0.1756,0.41
0.16973333333333335,0.46
0.16426666666666667,0.36
0.18213333333333334,0.6
0.21106666666666668,0.99
0.20466666666666666,1.36
0.23973333333333333,1.06
0.224,1.54
0.20546666666666666,1.07
0.20333333333333334,1.11
0.23266666666666666,1.38
0.23706666666666668,1.51
0.2176,1.22
0.19533333333333333,1.34
0.23613333333333333,1.3
0.2328,1.41
0.23386666666666667,1.49
0.22186666666666666,1.18
0.21333333333333335,1.33
0.22613333333333333,1.17
0.19933333333333333,1.43
0.2352,1.18
0.20013333333333333,1.09
0.2028,1.2
0.22066666666666668,1.2
0.20733333333333334,1.04
0.23226666666666668,1.16
0.24866666666666667,1.32
0.21653333333333333,1.08
0.2168,1.17
0.216,1.28
0.19173333333333334,0.69
0.22946666666666668,1.18
0.20413333333333333,0.94
0.21666666666666667,0.93
0.218,1.31
0.18413333333333334,1.07
0.2244,1.35
0.24093333333333333,1.52
0.22053333333333333,1.43
0.234,1.3
0.19506666666666667,1.19
0.24053333333333332,1.44
0.2192,1.09
0.1968,1.82
0.2176,1.76
0.23506666666666667,1.59
0.20946666666666666,1.48
0.2634666666666667,1.69
0.21,1.7
0.23506666666666667,1.69
0.24666666666666667,1.72
0.24746666666666667,1.62
0.23306666666666667,1.71
0.2132,1.78
0.2428,1.82
0.2068,1.37
0.236,1.77
0.25733333333333336,1.79
0.2704,2.02
0.2272,1.79
0.22,1.59
0.2501333333333333,1.71
0.2384,1.76
0.2252,1.95
0.2288,1.65
0.2364,1.82
0.20813333333333334,1.57
0.22333333333333333,1.51
0.20146666666666666,1.58
0.23333333333333334,1.88
0.2304,1.48
0.2624,1.86
0.2368,1.84
0.22586666666666666,1.57
0.22786666666666666,1.49
0.2528,1.9
0.244,1.94
0.2597333333333333,1.84
0.21026666666666666,1.96
0.22133333333333333,1.76
0.21813333333333335,1.54
0.23026666666666668,1.66
0.24666666666666667,1.64
0.2432,2.04
0.236,2.03
0.21586666666666668,2.1
0.22413333333333332,2.19
0.25666666666666665,2.02
0.25106666666666666,2.23
0.23613333333333333,2.04
0.24906666666666666,2.08
0.23213333333333333,2.19
0.23186666666666667,1.99
0.2690666666666667,1.95
