total_utilization,avg_reward
0.0784,-0.41
0.10453333333333334,0.02
0.1716,0.37
0.1472,0.21
0.1796,0.62
0.174,0.44
0.22506666666666666,1.11
0.1888,0.69
0.23986666666666667,1.23
0.2476,1.34
0.25733333333333336,1.5
0.27026666666666666,1.7
0.276,1.56
0.26866666666666666,1.63
0.2617333333333333,1.61
0.28,1.68
0.2753333333333333,1.68
0.2769333333333333,1.7
0.27626666666666666,1.71
0.2673333333333333,1.54
0.276,1.58
0.2753333333333333,1.75
0.2773333333333333,1.52
0.2736,1.66
0.26813333333333333,1.67
0.2692,1.6
0.27386666666666665,1.61
0.27453333333333335,1.56
0.27213333333333334,1.68
0.27266666666666667,1.74
