total_utilization,avg_reward
0.0624,-0.52
0.05333333333333334,-0.62
0.1044,-0.26
0.11106666666666666,-0.19
0.1092,-0.13
0.07866666666666666,-0.52
0.0768,-0.4
0.08173333333333334,-0.51
0.0988,-0.36
0.05946666666666667,-0.57
0.10533333333333333,-0.16
0.1032,-0.07
0.1004,-0.27
0.09013333333333333,-0.23
0.10133333333333333,-0.21
0.06453333333333333,-0.64
0.09013333333333333,-0.23
0.08213333333333334,-0.28
0.08466666666666667,-0.4
0.10066666666666667,-0.11
0.0708,-0.4
0.078,-0.47
0.09506666666666666,-0.38
0.1056,-0.19
0.05706666666666667,-0.48
0.064,-0.53
0.10893333333333333,-0.09
0.0804,-0.39
0.0712,-0.5
0.10933333333333334,-0.13
0.10786666666666667,-0.07
0.12146666666666667,-0.13
0.08373333333333334,-0.35
0.07466666666666667,-0.4
0.0808,-0.34
0.08866666666666667,-0.32
0.12,-0.09
0.06146666666666667,-0.52
0.1,-0.42
0.04613333333333333,-0.59
0.12693333333333334,-0.05
0.16746666666666668,0.33
0.1688,0.34
0.18386666666666668,0.48
0.20053333333333334,0.67
0.17186666666666667,0.4
0.1652,0.37
0.1724,0.45
0.15493333333333334,0.29
0.1812,0.5
0.17,0.31
0.194,0.55
0.12586666666666665,0.2
0.18813333333333335,0.49
0.1568,0.23
0.1504,0.06
0.1736,0.44
0.15706666666666666,0.33
0.188,0.58
0.16253333333333334,0.2
0.16346666666666668,0.38
0.13693333333333332,0.19
0.16133333333333333,0.21
0.154,0.24
0.18253333333333333,0.57
0.17506666666666668,0.37
0.1772,0.53
0.18653333333333333,0.51
0.1584,0.33
0.15306666666666666,0.26
0.14253333333333335,0.13
0.20133333333333334,0.69
0.16746666666666668,0.43
0.1912,0.52
0.1652,0.33
0.15453333333333333,0.22
0.17826666666666666,0.49
0.15293333333333334,0.31
0.16413333333333333,0.26
0.166,0.15
0.2196,0.97
0.22306666666666666,1.08
0.2092,0.8
0.21213333333333334,0.94
0.2256,1.1
0.21613333333333334,0.98
0.2244,0.8
0.22413333333333332,1.04
0.21346666666666667,0.94
0.2112,0.92
0.20746666666666666,0.86
0.22453333333333333,0.98
0.20413333333333333,0.84
0.22386666666666666,1.03
0.21893333333333334,0.99
0.1924,0.66
0.22853333333333334,1.02
0.22093333333333334,0.85
0.19293333333333335,0.65
0.20506666666666667,0.78
0.2172,1.0
0.21826666666666666,0.8
0.22293333333333334,0.86
0.21493333333333334,0.88
0.22973333333333334,1.16
0.19053333333333333,0.67
0.2252,1.0
0.2004,0.68
0.23546666666666666,1.05
0.22,0.91
0.21053333333333332,0.96
0.23346666666666666,1.08
0.2296,1.07
0.22853333333333334,1.04
0.20426666666666668,0.84
0.2084,0.88
0.21253333333333332,0.89
0.23106666666666667,0.98
0.2268,0.97
0.2324,1.07
0.2436,1.28
0.2616,1.55
0.25133333333333335,1.35
0.2592,1.44
0.24906666666666666,1.3
0.25733333333333336,1.38
0.24373333333333333,1.32
0.23173333333333335,1.11
0.26066666666666666,1.53
0.2650666666666667,1.53
0.2544,1.41
0.25733333333333336,1.41
0.26226666666666665,1.55
0.2558666666666667,1.43
0.26306666666666667,1.57
0.2572,1.39
0.25453333333333333,1.47
0.2502666666666667,1.48
0.2577333333333333,1.44
0.25826666666666664,1.4
0.26066666666666666,1.45
0.2688,1.51
0.2521333333333333,1.43
